Season,TeamName,KaderHome,AvgAgeHome,ForeignPlayersHome,OverallMarketValueHome,AvgMarketValueHome,StadiumCapacity
2017,Bayern Munich,27,26,15,597950000,22150000,75000
2017,Dortmund,33,25,18,416730000,12630000,81359
2017,Leverkusen,31,24,15,222600000,7180000,30210
2017,RB Leipzig,30,23,15,180130000,6000000,42959
2017,Schalke 04,29,24,17,179550000,6190000,62271
2017,M'gladbach,31,25,17,154400000,4980000,54014
2017,Wolfsburg,31,24,14,124430000,4010000,30000
2017,FC Koln,24,26,9,118550000,4940000,49968
2017,Hoffenheim,31,24,14,107330000,3460000,30164
2017,Hertha,26,26,12,86800000,3340000,74475
2017,Mainz,31,25,16,71950000,2320000,34000
2017,Hamburg,31,25,15,71550000,2310000,57376
2017,Werder Bremen,32,26,19,69450000,2170000,42100
2017,Ein Frankfurt,34,24,18,67100000,1970000,51500
2017,Augsburg,36,26,20,63100000,1750000,30660
2017,Freiburg,26,26,8,57730000,2220000,24000
2017,Stuttgart,24,24,16,44750000,1860000,60449
2017,Hannover,31,25,13,43100000,1390000,49200
2016,Bayern Munich,33,25,18,595400000,18040000,75000
2016,Dortmund,32,24,17,321550000,10050000,81359
2016,Leverkusen,39,23,21,244580000,6270000,30210
2016,Schalke 04,39,24,22,238750000,6120000,62271
2016,Wolfsburg,43,24,21,225350000,5240000,30000
2016,M'gladbach,33,23,15,155800000,4720000,54014
2016,Hamburg,38,24,19,94980000,2500000,57376
2016,Mainz,39,23,22,85700000,2200000,34000
2016,FC Koln,30,24,13,77400000,2580000,49968
2016,Hoffenheim,33,24,15,76550000,2320000,30164
2016,Hertha,33,24,14,75980000,2300000,74475
2016,Werder Bremen,41,25,19,75080000,1830000,42100
2016,RB Leipzig,33,23,15,69180000,2100000,42959
2016,Augsburg,37,25,21,69000000,1860000,30660
2016,Ein Frankfurt,35,23,21,66100000,1890000,51500
2016,Freiburg,36,24,13,40250000,1120000,24000
2016,Ingolstadt,32,24,15,36680000,1150000,15690
2016,Darmstadt,39,26,17,32830000,842000,17400
2015,Bayern Munich,34,25,19,608500000,17900000,75000
2015,Dortmund,30,24,14,311600000,10390000,81359
2015,Wolfsburg,35,25,19,265430000,7580000,30000
2015,Schalke 04,32,24,14,209350000,6540000,62271
2015,Leverkusen,33,23,20,200750000,6080000,30210
2015,M'gladbach,29,24,17,139550000,4810000,54014
2015,Hoffenheim,31,24,17,111400000,3590000,30164
2015,Ein Frankfurt,35,24,20,87500000,2500000,51500
2015,Stuttgart,34,24,17,82600000,2430000,60449
2015,Hamburg,35,25,17,74080000,2120000,57376
2015,Hannover,39,24,22,73580000,1890000,49200
2015,Hertha,34,24,15,72880000,2140000,74475
2015,Mainz,39,24,22,67550000,1730000,34000
2015,Augsburg,39,25,20,62500000,1600000,30660
2015,Werder Bremen,39,24,17,59500000,1530000,42100
2015,FC Koln,25,24,12,52050000,2080000,49968
2015,Ingolstadt,29,24,15,24380000,841000,15690
2015,Darmstadt,30,26,8,19800000,660000,17400
2014,Bayern Munich,33,25,17,564180000,17100000,75000
2014,Dortmund,37,24,17,329800000,8910000,81359
2014,Schalke 04,36,23,15,213380000,5930000,62271
2014,Wolfsburg,30,25,18,176130000,5870000,30000
2014,Leverkusen,26,24,14,166550000,6410000,30210
2014,Hamburg,38,24,21,114950000,3030000,57376
2014,M'gladbach,27,25,14,107330000,3980000,54014
2014,Hoffenheim,30,23,13,100030000,3330000,30164
2014,Stuttgart,30,24,14,97900000,3260000,60449
2014,Hannover,35,25,16,78050000,2230000,49200
2014,Mainz,36,24,19,76900000,2140000,34000
2014,Hertha,30,25,16,76480000,2550000,74475
2014,Ein Frankfurt,30,24,14,73980000,2470000,51500
2014,Werder Bremen,36,23,16,58580000,1630000,42100
2014,Freiburg,30,24,13,56900000,1900000,24000
2014,FC Koln,27,24,14,43330000,1600000,49968
2014,Augsburg,35,25,17,42430000,1210000,30660
2014,Paderborn,28,25,8,22450000,802000,15000
2013,Bayern Munich,30,24,15,483980000,16130000,75000
2013,Dortmund,31,24,11,285150000,9200000,81359
2013,Schalke 04,33,24,17,186950000,5670000,62271
2013,Leverkusen,33,24,14,141850000,4300000,30210
2013,Wolfsburg,35,24,24,134730000,3850000,30000
2013,Hamburg,33,24,18,111700000,3380000,57376
2013,Stuttgart,32,24,16,100980000,3160000,60449
2013,M'gladbach,28,24,14,94780000,3380000,54014
2013,Ein Frankfurt,33,24,11,84930000,2570000,51500
2013,Hannover,35,24,20,83550000,2390000,49200
2013,Hoffenheim,43,23,24,77080000,1790000,30164
2013,Werder Bremen,38,23,18,74450000,1960000,42100
2013,Freiburg,34,23,15,66630000,1960000,24000
2013,Nurnberg,32,23,16,48880000,1530000,50000
2013,Hertha,32,25,14,45950000,1440000,74475
2013,Mainz,31,26,16,45400000,1460000,34000
2013,Augsburg,34,24,16,43500000,1280000,30660
2013,Braunschweig,32,25,10,29600000,925000,23325
2012,Bayern Munich,28,25,13,407300000,14550000,75000
2012,Dortmund,29,23,10,227680000,7850000,81359
2012,Schalke 04,28,24,17,171000000,6110000,62271
2012,Wolfsburg,34,25,25,120330000,3540000,30000
2012,Leverkusen,32,23,11,115900000,3620000,30210
2012,Hamburg,28,24,17,110600000,3950000,57376
2012,Stuttgart,32,25,19,102030000,3190000,60449
2012,Hannover,32,25,18,88000000,2750000,49200
2012,Hoffenheim,42,23,24,85030000,2020000,30164
2012,M'gladbach,27,24,14,81000000,3000000,54014
2012,Werder Bremen,32,23,14,79200000,2480000,42100
2012,Ein Frankfurt,31,24,13,51200000,1650000,51500
2012,Mainz,31,26,18,50950000,1640000,34000
2012,Augsburg,31,25,16,47000000,1520000,30660
2012,Freiburg,31,23,14,45450000,1470000,24000
2012,Nurnberg,30,23,13,42650000,1420000,50000
2012,Greuther Furth,37,24,19,34080000,921000,18000
2012,Fortuna Dusseldorf,34,25,18,31750000,934000,54600
2011,Bayern Munich,24,25,11,335600000,13980000,75000
2011,Dortmund,28,24,12,158200000,5650000,81359
2011,Leverkusen,29,23,9,151100000,5210000,30210
2011,Schalke 04,37,24,20,136730000,3700000,62271
2011,Werder Bremen,38,23,17,125350000,3300000,42100
2011,Wolfsburg,44,25,28,122000000,2770000,30000
2011,Hamburg,36,23,23,103200000,2870000,57376
2011,Stuttgart,32,24,18,101880000,3180000,60449
2011,Hoffenheim,34,23,20,93600000,2750000,30164
2011,FC Koln,31,24,17,69290000,2240000,49968
2011,Hannover,31,25,16,68850000,2220000,49200
2011,M'gladbach,28,23,15,59080000,2110000,54014
2011,Freiburg,34,24,17,57400000,1690000,24000
2011,Mainz,30,25,18,55100000,1840000,34000
2011,Hertha,30,24,16,50350000,1680000,74475
2011,Kaiserslautern,36,23,20,50050000,1390000,49780
2011,Nurnberg,30,23,12,43180000,1440000,50000
2011,Augsburg,32,25,15,34980000,1090000,30660
2010,Bayern Munich,31,25,17,284500000,9180000,75000
2010,Wolfsburg,34,25,25,210730000,6200000,30000
2010,Leverkusen,30,24,12,146650000,4890000,30210
2010,Werder Bremen,38,24,18,146550000,3860000,42100
2010,Schalke 04,36,24,23,139650000,3880000,62271
2010,Hamburg,30,25,20,132230000,4410000,57376
2010,Dortmund,31,24,16,114650000,3700000,81359
2010,Stuttgart,33,24,17,106650000,3230000,60449
2010,Hoffenheim,34,23,19,98350000,2890000,30164
2010,M'gladbach,34,25,19,69300000,2040000,54014
2010,FC Koln,38,24,19,62480000,1640000,49968
2010,Ein Frankfurt,31,24,15,56600000,1830000,51500
2010,Mainz,28,26,15,45550000,1630000,34000
2010,Hannover,28,25,13,44630000,1590000,49200
2010,Freiburg,32,24,20,42800000,1340000,24000
2010,Nurnberg,32,24,14,38980000,1220000,50000
2010,Kaiserslautern,30,24,18,37230000,1240000,49780
2010,St Pauli,30,26,3,29900000,997000,29546
2009,Bayern Munich,29,25,15,283250000,9770000,75000
2009,Wolfsburg,31,25,19,155880000,5030000,30000
2009,Hamburg,35,24,19,145930000,4170000,57376
2009,Werder Bremen,38,23,17,134000000,3530000,42100
2009,Stuttgart,34,24,14,125000000,3680000,60449
2009,Schalke 04,40,23,23,113550000,2840000,62271
2009,Leverkusen,30,24,14,109050000,3640000,30210
2009,Hoffenheim,33,22,16,90630000,2750000,30164
2009,Dortmund,34,23,15,80450000,2370000,81359
2009,Hertha,33,24,22,76100000,2310000,74475
2009,FC Koln,33,24,18,72230000,2190000,49968
2009,Hannover,39,25,21,66880000,1710000,49200
2009,Ein Frankfurt,36,25,19,62000000,1720000,51500
2009,M'gladbach,30,25,15,45800000,1530000,54014
2009,Bochum,32,26,15,44550000,1390000,29299
2009,Nurnberg,32,24,15,42080000,1310000,50000
2009,Mainz,41,25,22,40450000,987000,34000
2009,Freiburg,32,24,21,31580000,987000,24000
2008,Bayern Munich,23,26,12,238900000,10390000,75000
2008,Werder Bremen,34,23,17,142450000,4190000,42100
2008,Schalke 04,29,25,17,128000000,4410000,62271
2008,Hamburg,30,25,20,110300000,3680000,57376
2008,Leverkusen,26,25,13,97700000,3760000,30210
2008,Dortmund,35,24,23,94180000,2690000,81359
2008,Stuttgart,27,25,12,93400000,3460000,60449
2008,Wolfsburg,31,24,20,84550000,2730000,30000
2008,Hertha,31,24,22,74800000,2410000,74475
2008,Hannover,28,26,14,65450000,2340000,49200
2008,Ein Frankfurt,30,25,18,63050000,2100000,51500
2008,Bochum,30,26,17,45800000,1530000,29299
2008,Hoffenheim,32,23,15,44200000,1380000,30164
2008,M'gladbach,29,25,16,40250000,1390000,54014
2008,Karlsruhe,27,26,10,38850000,1440000,29699
2008,FC Koln,29,26,19,34150000,1180000,49968
2008,Bielefeld,27,26,11,30000000,1110000,26515
2008,Cottbus,34,26,21,29450000,866000,22528
2007,Bayern Munich,28,25,12,222930000,7960000,75000
2007,Werder Bremen,29,24,14,129030000,4450000,42100
2007,Stuttgart,34,24,17,115800000,3410000,60449
2007,Schalke 04,30,26,16,106900000,3560000,62271
2007,Hamburg,34,23,23,94750000,2790000,57376
2007,Dortmund,33,25,16,81350000,2470000,81359
2007,Nurnberg,31,25,19,70950000,2290000,50000
2007,Leverkusen,30,23,12,67720000,2260000,30210
2007,Hannover,28,27,13,61450000,2190000,49200
2007,Wolfsburg,36,25,24,57450000,1600000,30000
2007,Ein Frankfurt,33,24,16,54180000,1640000,51500
2007,Hertha,31,24,20,48700000,1570000,74475
2007,Bochum,30,26,15,39050000,1300000,29299
2007,Bielefeld,32,26,11,34050000,1060000,26515
2007,Duisburg,37,26,21,33630000,909000,31514
2007,Karlsruhe,27,25,9,27500000,1020000,29699
2007,Hansa Rostock,28,25,12,23950000,855000,29000
2007,Cottbus,36,25,21,21250000,590000,22528
2006,Bayern Munich,29,26,15,166980000,5760000,75000
2006,Werder Bremen,33,24,14,128680000,3900000,42100
2006,Hamburg,35,24,18,116430000,3330000,57376
2006,Schalke 04,29,24,14,87430000,3010000,62271
2006,Dortmund,31,23,14,79300000,2560000,81359
2006,Stuttgart,30,25,11,64630000,2150000,60449
2006,Wolfsburg,30,26,21,64050000,2140000,30000
2006,Leverkusen,28,24,14,63080000,2250000,30210
2006,Hertha,30,24,17,57880000,1930000,74475
2006,Ein Frankfurt,29,25,11,51830000,1790000,51500
2006,Nurnberg,31,25,20,49150000,1590000,50000
2006,M'gladbach,35,24,18,48350000,1380000,54014
2006,Hannover,31,25,14,40350000,1300000,49200
2006,Mainz,33,25,16,35850000,1090000,34000
2006,Bochum,31,26,15,30850000,995000,29299
2006,Bielefeld,30,26,12,30550000,1020000,26515
2006,Aachen,26,25,5,23950000,921000,32960
2006,Cottbus,30,25,17,17530000,584000,22528
2005,Bayern Munich,25,27,14,171500000,6860000,75000
2005,Werder Bremen,28,24,13,93800000,3350000,42100
2005,Schalke 04,32,24,15,87900000,2750000,62271
2005,Leverkusen,33,24,15,80630000,2440000,30210
2005,Stuttgart,30,26,13,79650000,2660000,60449
2005,Hamburg,32,24,17,73600000,2300000,57376
2005,Hertha,30,25,19,69650000,2320000,74475
2005,Dortmund,32,23,14,67700000,2120000,81359
2005,Wolfsburg,32,27,22,66050000,2060000,30000
2005,M'gladbach,32,26,21,50250000,1570000,54014
2005,FC Koln,36,26,16,48830000,1360000,49968
2005,Hannover,29,25,12,44000000,1520000,49200
2005,Nurnberg,32,24,16,37250000,1160000,50000
2005,Ein Frankfurt,31,25,12,25600000,826000,51500
2005,Kaiserslautern,32,25,14,23230000,726000,49780
2005,Duisburg,31,27,10,22500000,726000,31514
2005,Bielefeld,31,26,15,21700000,700000,26515
2005,Mainz,30,25,10,15200000,507000,34000
2017,Union Berlin,26,26,9,20050000,771000,47728
2017,Braunschweig,24,25,8,18300000,763000,47728
2017,Nurnberg,27,25,12,16350000,606000,47728
2017,Kaiserslautern,33,23,13,16280000,493000,47728
2017,Bochum,32,24,10,16200000,506000,47728
2017,St Pauli,28,26,9,16100000,575000,47728
2017,Darmstadt,26,25,10,15630000,601000,47728
2017,Greuther Furth,29,24,13,15430000,532000,47728
2017,Bielefeld,24,26,5,14080000,586000,47728
2017,Heidenheim,27,25,5,13900000,515000,47728
2017,Fortuna Dusseldorf,27,25,7,13030000,482000,47728
2017,Dresden,24,25,3,12680000,528000,47728
2017,Sandhausen,28,26,8,11180000,399000,47728
2017,Erzgebirge Aue,30,26,6,10950000,365000,47728
2017,Duisburg,30,26,12,9250000,308000,47728
2017,Kiel,28,25,3,8300000,296000,47728
2017,Regensburg,24,25,5,6250000,260000,47728
2017,Ingolstadt,26,25,11,26230000,1010000,47728
2016,Stuttgart,32,24,20,52380000,1640000,47728
2016,Hannover,33,23,15,40600000,1230000,47728
2016,Munich 1860,39,24,21,25350000,650000,47728
2016,Nurnberg,36,24,16,22100000,614000,47728
2016,St Pauli,35,24,11,21830000,642000,47728
2016,Union Berlin,33,25,12,20630000,625000,47728
2016,Kaiserslautern,35,23,14,20400000,583000,47728
2016,Karlsruhe,40,23,15,18800000,470000,47728
2016,Fortuna Dusseldorf,32,24,10,18700000,584000,47728
2016,Braunschweig,27,25,13,18650000,691000,47728
2016,Greuther Furth,38,24,17,17300000,455000,47728
2016,Bochum,35,22,10,15180000,434000,47728
2016,Bielefeld,32,25,6,14050000,439000,47728
2016,Heidenheim,28,23,7,13050000,466000,47728
2016,Sandhausen,29,25,8,12350000,426000,47728
2016,Dresden,30,24,5,9650000,322000,47728
2016,Wurzburger Kickers,28,26,11,9500000,339000,47728
2016,Erzgebirge Aue,30,25,6,8480000,283000,47728
2015,RB Leipzig,31,22,12,35300000,1140000,47728
2015,Freiburg,34,23,12,31100000,915000,47728
2015,Paderborn,34,25,13,24730000,727000,47728
2015,Nurnberg,32,25,12,24650000,770000,47728
2015,Fortuna Dusseldorf,34,25,15,23580000,693000,47728
2015,Greuther Furth,36,24,13,20400000,567000,47728
2015,Munich 1860,36,24,15,19700000,547000,47728
2015,Union Berlin,31,25,10,19150000,618000,47728
2015,Kaiserslautern,33,23,11,18450000,559000,47728
2015,Karlsruhe,33,24,10,16630000,504000,47728
2015,Braunschweig,30,24,14,16180000,539000,47728
2015,St Pauli,31,23,10,15400000,497000,47728
2015,Frankfurt FSV,32,24,17,14200000,444000,47728
2015,Duisburg,35,25,13,13950000,399000,47728
2015,Bochum,31,24,11,13300000,429000,47728
2015,Heidenheim,28,24,3,12780000,456000,47728
2015,Bielefeld,31,25,6,12700000,410000,47728
2015,Sandhausen,30,25,8,11500000,383000,47728
2014,Nurnberg,37,23,20,30950000,836000,47728
2014,Greuther Furth,40,23,17,25150000,629000,47728
2014,Fortuna Dusseldorf,30,24,12,24730000,824000,47728
2014,RB Leipzig,35,23,14,23300000,666000,47728
2014,Kaiserslautern,30,23,9,22980000,766000,47728
2014,Munich 1860,36,24,18,22450000,624000,47728
2014,St Pauli,35,24,8,21100000,603000,47728
2014,Braunschweig,32,25,11,19600000,613000,47728
2014,Ingolstadt,30,24,12,16530000,551000,47728
2014,Union Berlin,31,24,11,15580000,502000,47728
2014,Bochum,33,24,11,15200000,461000,47728
2014,Karlsruhe,31,24,9,14750000,476000,47728
2014,Frankfurt FSV,31,25,12,13550000,437000,47728
2014,Erzgebirge Aue,37,24,12,13400000,362000,47728
2014,Darmstadt,28,25,4,12430000,444000,47728
2014,Sandhausen,33,25,10,12400000,376000,47728
2014,Aalen,33,25,8,11580000,351000,47728
2014,Heidenheim,28,24,1,9350000,334000,47728
2013,Kaiserslautern,32,24,15,32780000,1020000,47728
2013,Fortuna Dusseldorf,37,24,22,28000000,757000,47728
2013,FC Koln,30,23,14,24950000,832000,47728
2013,Greuther Furth,27,24,11,21500000,796000,47728
2013,Union Berlin,30,25,10,16730000,558000,47728
2013,St Pauli,27,24,5,16580000,614000,47728
2013,Munich 1860,30,25,7,16250000,542000,47728
2013,Ingolstadt,27,25,13,15380000,569000,47728
2013,Frankfurt FSV,29,24,12,14700000,507000,47728
2013,Cottbus,34,24,16,14650000,431000,47728
2013,Erzgebirge Aue,32,26,9,13350000,417000,47728
2013,Bochum,35,24,7,13300000,380000,47728
2013,Dresden,27,25,12,13300000,493000,47728
2013,Bielefeld,37,24,5,12400000,335000,47728
2013,Paderborn,30,24,7,12350000,412000,47728
2013,Sandhausen,29,25,7,9900000,341000,47728
2013,Karlsruhe,30,23,7,9780000,326000,47728
2013,Aalen,28,26,7,7850000,280000,47728
2012,Hertha,31,24,16,38580000,1240000,47728
2012,Kaiserslautern,37,24,16,36030000,974000,47728
2012,FC Koln,31,23,15,28030000,904000,47728
2012,Munich 1860,33,25,11,23850000,723000,47728
2012,Ingolstadt,31,26,12,18180000,586000,47728
2012,Dresden,29,24,14,17130000,591000,47728
2012,Duisburg,31,25,14,16450000,531000,47728
2012,St Pauli,27,24,3,15530000,575000,47728
2012,Union Berlin,28,25,9,15300000,546000,47728
2012,Bochum,33,24,8,15200000,461000,47728
2012,Cottbus,32,25,11,14900000,466000,47728
2012,Braunschweig,28,25,8,14600000,521000,47728
2012,Erzgebirge Aue,27,25,5,14400000,533000,47728
2012,Frankfurt FSV,32,23,12,14080000,440000,47728
2012,Paderborn,28,24,8,12930000,462000,47728
2012,Sandhausen,31,26,9,12900000,416000,47728
2012,Regensburg,32,24,10,8950000,280000,47728
2012,Aalen,26,26,6,8780000,338000,47728
2011,Ein Frankfurt,36,24,18,51400000,1430000,47728
2011,St Pauli,30,25,6,25600000,853000,47728
2011,Cottbus,32,24,12,22550000,705000,47728
2011,Bochum,32,24,9,21330000,666000,47728
