Match_ID,Div,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
1,D2,2009,2010-04-04,Oberhausen,Kaiserslautern,2,1,H
2,D2,2009,2009-11-01,Munich 1860,Kaiserslautern,0,1,A
3,D2,2009,2009-10-04,Frankfurt FSV,Kaiserslautern,1,1,D
4,D2,2009,2010-02-21,Frankfurt FSV,Karlsruhe,2,1,H
5,D2,2009,2009-12-06,Ahlen,Karlsruhe,1,3,A
6,D2,2009,2010-04-03,Union Berlin,Karlsruhe,1,1,D
7,D2,2009,2009-08-14,Paderborn,Karlsruhe,2,0,H
8,D2,2009,2010-03-08,Bielefeld,Karlsruhe,0,1,A
9,D2,2009,2009-09-26,Kaiserslautern,Karlsruhe,2,0,H
10,D2,2009,2009-11-21,Hansa Rostock,Karlsruhe,2,1,H
11,D2,2009,2009-12-19,Greuther Furth,Karlsruhe,1,4,A
12,D2,2009,2010-04-16,Koblenz,Karlsruhe,2,2,D
13,D2,2009,2010-03-21,Oberhausen,Karlsruhe,1,0,H
14,D2,2009,2009-09-14,Cottbus,Karlsruhe,2,4,A
15,D2,2009,2010-05-02,Duisburg,Karlsruhe,0,1,A
16,D2,2009,2009-10-30,Fortuna Dusseldorf,Karlsruhe,1,0,H
17,D2,2009,2010-01-15,Aachen,Karlsruhe,3,1,H
18,D2,2009,2009-10-18,Augsburg,Karlsruhe,1,1,D
19,D2,2009,2010-02-05,St Pauli,Karlsruhe,2,1,H
20,D2,2009,2009-08-24,Munich 1860,Karlsruhe,1,3,A
21,D1,2009,2010-02-06,Bochum,Leverkusen,1,1,D
22,D1,2009,2009-11-22,Bayern Munich,Leverkusen,1,1,D
23,D1,2009,2010-05-08,M'gladbach,Leverkusen,1,1,D
24,D1,2009,2009-08-08,Mainz,Leverkusen,2,2,D
25,D1,2009,2009-10-17,Hamburg,Leverkusen,0,0,D
26,D1,2009,2010-04-17,Stuttgart,Leverkusen,2,1,H
